ensembl_id	symbol	name	type_of_gene
ENSG00000000003	TSPAN6	tetraspanin 6	protein-coding
ENSG00000000005	TNMD	tenomodulin	protein-coding
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	protein-coding
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3	protein-coding
ENSG00000000460	FIRRM	FIGNL1 interacting regulator of recombination and mitosis	protein-coding
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase	protein-coding
ENSG00000000971	CFH	complement factor H	protein-coding
ENSG00000001036	FUCA2	alpha-L-fucosidase 2	protein-coding
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha	protein-coding
ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1	protein-coding
ENSG00000001461	NIPAL3	NIPA like domain containing 3	protein-coding
ENSG00000001497	LAS1L	LAS1 like ribosome biogenesis factor	protein-coding
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	protein-coding
ENSG00000001617	SEMA3F	semaphorin 3F	protein-coding
ENSG00000001626	CFTR	CF transmembrane conductance regulator	protein-coding
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1	protein-coding
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1	protein-coding
ENSG00000001631	KRIT1	KRIT1 ankyrin repeat containing	protein-coding
ENSG00000002016	RAD52	RAD52 DNA repair protein	protein-coding
ENSG00000002079			
ENSG00000002330	BAD	BCL2 associated agonist of cell death	protein-coding
ENSG00000002549	LAP3	leucine aminopeptidase 3	protein-coding
ENSG00000002586	CD99	CD99 molecule (Xg blood group)	protein-coding
ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	protein-coding
ENSG00000002726	AOC1	amine oxidase copper containing 1	protein-coding
ENSG00000002745	WNT16	Wnt family member 16	protein-coding
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein-coding
ENSG00000002822	MAD1L1	mitotic arrest deficient 1 like 1	protein-coding
ENSG00000002834	LASP1	LIM and SH3 protein 1	protein-coding
ENSG00000002919	SNX11	sorting nexin 11	protein-coding
ENSG00000002933	TMEM176A	transmembrane protein 176A	protein-coding
ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent	protein-coding
ENSG00000003096	KLHL13	kelch like family member 13	protein-coding
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1	protein-coding
ENSG00000003147	ICA1	islet cell autoantigen 1	protein-coding
ENSG00000003249	DBNDD1	dysbindin domain containing 1	protein-coding
ENSG00000003393	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	protein-coding
ENSG00000003400	CASP10	caspase 10	protein-coding
ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator	protein-coding
ENSG00000003436	TFPI	tissue factor pathway inhibitor	protein-coding
ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	protein-coding
ENSG00000003756	RBM5	RNA binding motif protein 5	protein-coding
ENSG00000003987	MTMR7	myotubularin related protein 7	protein-coding
ENSG00000003989	SLC7A2	solute carrier family 7 member 2	protein-coding
ENSG00000004059	ARF5	ARF GTPase 5	protein-coding
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1	protein-coding
ENSG00000004142	POLDIP2	DNA polymerase delta interacting protein 2	protein-coding
ENSG00000004399	PLXND1	plexin D1	protein-coding
ENSG00000004455	AK2	adenylate kinase 2	protein-coding
ENSG00000004468	CD38	CD38 molecule	protein-coding
ENSG00000004478	FKBP4	FKBP prolyl isomerase 4	protein-coding
ENSG00000004487	KDM1A	lysine demethylase 1A	protein-coding
ENSG00000004534	RBM6	RNA binding motif protein 6	protein-coding
ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	protein-coding
ENSG00000004700	RECQL	RecQ like helicase	protein-coding
ENSG00000004766	VPS50	VPS50 subunit of EARP/GARPII complex	protein-coding
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6	protein-coding
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33	protein-coding
ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	protein-coding
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4	protein-coding
ENSG00000004809	SLC22A16	solute carrier family 22 member 16	protein-coding
ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10	protein-coding
ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5	protein-coding
ENSG00000004848	ARX	aristaless related homeobox	protein-coding
ENSG00000004864	SLC25A13	solute carrier family 25 member 13	protein-coding
ENSG00000004866	ST7	suppression of tumorigenicity 7	protein-coding
ENSG00000004897	CDC27	cell division cycle 27	protein-coding
ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	protein-coding
ENSG00000004948	CALCR	calcitonin receptor	protein-coding
ENSG00000004961	HCCS	holocytochrome c synthase	protein-coding
